intck,lor005,r005,hir005,lor010,r010,hir010,lor025,r025,hir025,lor050,r050,hir050,lor100,r100,hir100,los005,s005,his005,los010,s010,his010,los025,s025,his025,los050,s050,his050,los100,s100,his100
79,0.2059350192,0.3910052942,0.5760755692,0.1872664672,0.4138665386,0.6404666099,0.2583250122,0.5360054885,0.8136859649,0.2387914302,0.5994720841,0.9601527379,0.2818083902,0.7296428804,1.1774773705,0.887754886,1.1923339705,1.496913055,1.0476105619,1.4271679421,1.8067253224,1.2840851315,1.7321916576,2.1802981837,1.4696021187,2.0804784243,2.6913547299,1.1969547116,2.4581678659,3.7193810202
80,0.2037584595,0.3933460324,0.5829336052,0.1782694238,0.4114099654,0.6445505071,0.2424929657,0.5286770195,0.8148610733,0.2306651687,0.5974182412,0.9641713138,0.2539944568,0.7056760384,1.1573576201,0.8826246568,1.1924200129,1.502215369,1.0423215377,1.4216093996,1.8008972616,1.2740799373,1.7172190793,2.1603582212,1.4361920829,2.0398858649,2.6435796469,1.1676204024,2.3908492223,3.6140780423
81,0.2189896219,0.4106871762,0.6023847306,0.1978501735,0.4333956594,0.6689411453,0.2614705601,0.5520654613,0.8426603625,0.261554673,0.6300824651,0.9986102573,0.2584996838,0.719662866,1.1808260481,0.9058631264,1.2163164014,1.5267696764,1.0740149976,1.4541867101,1.8343584227,1.310349127,1.7599937229,2.2096383188,1.4997929491,2.1070142254,2.7142355017,1.1805171757,2.3863867237,3.5922562718
82,0.2157977731,0.411532209,0.607266645,0.1950786023,0.4379974719,0.6809163415,0.2615647272,0.5635947909,0.8656248545,0.2615925086,0.6383100641,1.0150276195,0.2412424055,0.709402212,1.1775620185,0.9114495148,1.2328223083,1.5541951018,1.0793899719,1.4755708387,1.8717517054,1.3326049197,1.8005498661,2.2684948125,1.5266920661,2.1543005554,2.7819090448,1.1643725295,2.423932761,3.6834929925
83,0.1981662396,0.3967579329,0.5953496261,0.1707953159,0.4204424235,0.6700895312,0.2460534494,0.5567010364,0.8673486235,0.2659757063,0.650675054,1.0353744016,0.2304538161,0.7113269917,1.1922001673,0.9171397542,1.2376284511,1.558117148,1.0928839276,1.4912227711,1.8895616146,1.3576109915,1.8369928803,2.316374769,1.5765782399,2.1928462577,2.8091142755,1.1890112884,2.43771926,3.6864272315
84,0.2133485767,0.4095530516,0.6057575265,0.1842982375,0.4311366501,0.6779750628,0.2735037624,0.5805677893,0.8876318162,0.2929040559,0.6827980174,1.072691979,0.2409170913,0.7244930749,1.2080690586,0.9491820611,1.2647095998,1.5802371384,1.1206694199,1.5108816682,1.9010939165,1.3944936659,1.8523206005,2.310147535,1.6035716939,2.2095003855,2.815429077,1.2131773782,2.4117941545,3.6104109308
85,0.2071197704,0.3984039035,0.5896880365,0.1671085504,0.4067245893,0.6463406282,0.2402019073,0.5414262463,0.8426505853,0.2625181527,0.6473048185,1.0320914843,0.1975932369,0.677112157,1.1566310771,0.9398609245,1.2418858027,1.5439106808,1.105148398,1.4769299527,1.8487115075,1.3554814131,1.7889741437,2.2224668743,1.5471848391,2.1128721486,2.6785594581,1.1475024595,2.3214633798,3.4954243001
86,0.2092505453,0.3973898345,0.5855291237,0.1806837969,0.4164303509,0.6521769049,0.2585187211,0.5485954353,0.8386721495,0.2934730444,0.674618071,1.0557630977,0.2307222377,0.7036866869,1.1766511361,0.9730715927,1.2719812724,1.5708909522,1.14428948,1.502947551,1.8616056219,1.4035213439,1.8258593408,2.2481973378,1.5874453178,2.1485546097,2.7096639016,1.284563602,2.4096846258,3.5348056497
87,0.1991291291,0.3929093567,0.5866895843,0.1649525213,0.4039719892,0.6429914571,0.2202702897,0.5111824263,0.8020945629,0.2599388683,0.6488926607,1.0378464532,0.194275414,0.6782423778,1.1622093417,0.9619712779,1.2618910399,1.561810802,1.1231766239,1.4855853286,1.8479940332,1.36591885,1.7936453527,2.2213718555,1.5627292923,2.144920809,2.7271123257,1.2132836121,2.400208608,3.5871336039
88,0.1935632912,0.391941951,0.5903206109,0.1587196856,0.4006388314,0.6425579771,0.2042064024,0.5002784049,0.7963504074,0.2492364455,0.6542356202,1.0592347948,0.162221854,0.656520233,1.1508186119,0.9513438046,1.2484450746,1.5455463447,1.1052338875,1.4673891531,1.8295444187,1.3432480188,1.7801279003,2.2170077818,1.5426584722,2.1025043447,2.6623502171,1.2115240457,2.3990813606,3.5866386756
89,0.210786975,0.411209695,0.611632415,0.1882641376,0.4356629067,0.6830616758,0.2243609755,0.5282722917,0.8321836078,0.2590064782,0.6600626919,1.0611189056,0.1706483323,0.6784233889,1.1861984455,0.9758119072,1.2808427294,1.5858735515,1.1435332807,1.5206893555,1.8978454303,1.3895382973,1.8488118315,2.3080853657,1.5738926781,2.1451500318,2.7164073855,1.2243089766,2.4703718703,3.7164347641
90,0.2442981472,0.4489611601,0.653624173,0.2245925961,0.4782414377,0.7318902792,0.2541639104,0.5705873022,0.8870106941,0.2640479137,0.6814786769,1.0989094401,0.1807095962,0.7211772232,1.2616448502,1.0624352446,1.3839819411,1.7055286376,1.2540734421,1.6539259662,2.0537784902,1.5237223678,2.0227295384,2.521736709,1.7284840402,2.3344376529,2.9403912657,1.3029567062,2.6466884587,3.9904202112
91,0.2497361158,0.4510340382,0.6523319606,0.2359126034,0.4857033983,0.7354941932,0.2636836761,0.5766676586,0.8896516411,0.268083847,0.6843018691,1.1005198913,0.213862283,0.7601418243,1.3064213657,1.0939535076,1.4109483856,1.7279432636,1.2970360282,1.6891584662,2.0812809042,1.5809239053,2.0590257121,2.5371275189,1.8215295355,2.4245634366,3.0275973378,1.4014419371,2.7645369843,4.1276320315
92,0.2588038425,0.4655977764,0.6723917104,0.2388694421,0.4918676725,0.7448659029,0.262626958,0.5756293759,0.8886317939,0.2557613367,0.6757061616,1.0956509865,0.184143632,0.7306825782,1.2772215244,1.1039900084,1.4309048955,1.7578197827,1.3062539904,1.707240075,2.1082261595,1.5842364213,2.0672987092,2.5503609971,1.7675087811,2.3675423644,2.9675759477,1.3637157714,2.7084738978,4.0532320243
93,0.2783552519,0.4895777556,0.7008002593,0.2578103941,0.5185242658,0.7792381374,0.2936075007,0.6140348021,0.9344621034,0.2747702262,0.6941970603,1.1136238944,0.2189151266,0.7593937289,1.2998723312,1.1355632311,1.471655366,1.8077475009,1.3489365197,1.7632184548,2.17750039,1.6297074237,2.1354078994,2.641108375,1.8409897807,2.4614041606,3.0818185404,1.3903625357,2.7208217981,4.0512810606
94,0.2626959868,0.4821193231,0.7015426595,0.2401510272,0.5103052773,0.7804595274,0.2876847322,0.6207429979,0.9538012636,0.2539572165,0.6838040996,1.1136509827,0.1951869707,0.7493982615,1.3036095523,1.1230708619,1.4790428787,1.8350148954,1.3453699736,1.7886949973,2.2320200209,1.6195624501,2.159153608,2.698744766,1.8128215695,2.4323933615,3.0519651536,1.3002684528,2.6243498644,3.9484312759
95,0.2451510686,0.4666980419,0.6882450153,0.2059979028,0.4809906752,0.7559834475,0.2597506578,0.5939098266,0.9280689954,0.2385965999,0.6726428229,1.1066890458,0.2066829719,0.7505737359,1.2944644998,1.127254846,1.4848060451,1.8423572442,1.3481862842,1.7923485874,2.2365108905,1.6283718118,2.164467663,2.7005635143,1.8322051841,2.4333749215,3.0345446588,1.3256463624,2.5663267903,3.8070072181
96,0.2533863695,0.4747128381,0.6960393068,0.2118703187,0.4856309024,0.7593914862,0.2790110675,0.6227219993,0.9664329312,0.2651151621,0.7136336441,1.1621521262,0.2263926695,0.7929159907,1.359439312,1.1508869311,1.5084223197,1.8659577082,1.3665411151,1.8108100987,2.2550790822,1.6481820572,2.1838550417,2.7195280262,1.8306029339,2.4641919392,3.0977809444,1.3070630649,2.6395739716,3.9720848784
97,0.2530134902,0.4727239386,0.6924343869,0.2064676802,0.477045314,0.7476229477,0.2604100854,0.6040423536,0.9476746219,0.2486080065,0.6925094782,1.1364109499,0.2076693872,0.778082031,1.3484946747,1.1398163791,1.4911071489,1.8423979188,1.3479222864,1.7848146672,2.221707048,1.6141289048,2.1333697493,2.6526105939,1.785432849,2.4040651355,3.022697422,1.2969896141,2.6374349641,3.9778803141
