intck,lor005,r005,hir005,lor010,r010,hir010,lor025,r025,hir025,lor050,r050,hir050,lor100,r100,hir100
96,-0.149112233,-0.095706647,-0.042301062,-0.163139533,-0.094372435,-0.025605337,-0.16561338,-0.068876622,0.027860137,-0.157953549,-0.007709559,0.1425344303,-0.365631655,-0.18108791,0.0034558344
97,-0.148054266,-0.09391677,-0.039779273,-0.166908385,-0.097149116,-0.027389846,-0.174156151,-0.075825133,0.022505885,-0.175892395,-0.02355942,0.1287735552,-0.389822235,-0.199581715,-0.009341195
98,-0.146556841,-0.091699022,-0.036841203,-0.168378909,-0.097625896,-0.026872883,-0.174821217,-0.075678017,0.0234651831,-0.18691241,-0.034602184,0.1177080427,-0.41821186,-0.224825049,-0.031438238
99,-0.14582078,-0.09034806,-0.034875341,-0.173218106,-0.10168656,-0.030155014,-0.183797494,-0.083620818,0.0165558574,-0.200388121,-0.047053812,0.1062804978,-0.427415533,-0.232355512,-0.03729549
100,-0.14547969,-0.089607297,-0.033734904,-0.174897257,-0.102865931,-0.030834605,-0.186693995,-0.085812215,0.0150695647,-0.210268756,-0.056609575,0.0970496063,-0.442296707,-0.244972784,-0.047648861
101,-0.145306293,-0.089272097,-0.033237902,-0.17541437,-0.102836651,-0.030258932,-0.189841547,-0.087863132,0.0141152825,-0.219094297,-0.065636844,0.0878206086,-0.45899888,-0.260905052,-0.062811225
102,-0.146349232,-0.090080696,-0.03381216,-0.177563985,-0.104327272,-0.031090559,-0.199381074,-0.095605689,0.0081696964,-0.226566721,-0.072951053,0.0806646146,-0.466462683,-0.267046665,-0.067630648
103,-0.146479281,-0.089614399,-0.032749517,-0.182436783,-0.108205648,-0.033974513,-0.194946393,-0.09015484,0.0146367135,-0.235383302,-0.080729571,0.0739241592,-0.481709172,-0.282316285,-0.082923398
104,-0.148000567,-0.09059837,-0.033196172,-0.188097971,-0.112937057,-0.037776143,-0.201108635,-0.092658124,0.0157923877,-0.235269222,-0.0794367,0.076395822,-0.493610787,-0.293407892,-0.093204997
105,-0.150343775,-0.092196047,-0.034048319,-0.195471078,-0.118989981,-0.042508884,-0.197548782,-0.08764689,0.0222550019,-0.234199362,-0.076286496,0.0816263702,-0.486884913,-0.285114247,-0.083343581
